self.state_dimension=2
	self.action_space=4
        self.memory  = deque(maxlen=2000)
        #importojme te dhenat e memorjes
	filehandler = open("remember", 'r') 
	self.memory = pickle.load(filehandler)
        self.gamma = 0.85
	#ishte 50
        self.epsilon = 0.183230327904
        self.epsilon_min = 0.01
        self.epsilon_decay = 0.995
        self.learning_rate = 0.08
        self.tau = .125

Prova	Episode	Reward
0	0	-10
1	1	-10
2	1	-10
3	1	-10
4	4	-7
5	2	-9
6	2	-9
7	2	-9
8	2	-9
9	1	-10
10	2	-9
11	2	-9
12	2	-9
13	4	-7
14	3	-8
15	4	-7
16	3	-8
17	1	-10
18	3	-8
19	2	-9
20	2	-9
21	2	-9
22	3	-8
23	1	-10
24	2	-9
25	1	-10
26	2	-9
27	2	-9
28	2	-9
29	2	-9
30	2	-9
31	3	-8
32	2	-9
33	2	-9
34	2	-9
35	2	-9
36	3	-8
37	3	-8
38	2	-9
39	3	-8
40	1	-10
41	2	-9
42	3	-8
43	2	-9
44	2	-9
45	2	-9
46	2	-9
47	3	-8
48	1	-10
49	2	-9
50	1	-10
51	2	-9
52	6	-5
53	1	-10
54	2	-9
55	2	-9
56	2	-9
57	2	-9
58	3	-8
59	2	-9
60	5	-6
61	2	-9
62	2	-9
63	2	-9
64	1	-10
65	6	-5
66	1	-10
67	1	-10
68	3	-8
69	2	-9
70	1	-10
71	2	-9
72	1	-10
73	2	-9
74	4	-7
75	1	-10
76	1	-10
77	1	-10
78	2	-9
79	2	-9
80	2	-9
81	2	-9
82	2	-9
83	2	-9
84	2	-9
85	2	-9
86	2	-9
87	2	-9
88	2	-9
89	2	-9
90	2	-9
91	2	-9
92	2	-9
93	2	-9
94	2	-9
95	2	-9
96	1	-10
97	4	-7
98	1	-10
99	2	-9
100	1	-10
101	1	-10
102	6	-5
103	1	-10
104	1	-10
105	1	-10
106	1	-10
107	2	-9
108	2	-9
109	3	-8
110	1	-10
111	2	-9
112	3	-8
113	2	-9
114	2	-9
115	2	-9
116	1	-10
117	2	-9
118	2	-9
119	1	-10
120	2	-9
121	4	-7
122	1	-10
123	1	-10
124	2	-9
125	4	-7
126	2	-9
127	2	-9
128	1	-10
129	2	-9
130	2	-9
131	3	-8
132	4	-7
133	1	-10
134	1	-10
135	2	-9
136	2	-9
137	2	-9
138	2	-9
139	2	-9
140	3	-8
141	2	-9
142	2	-9
143	4	-7
144	1	-10
145	1	-10
146	1	-10
147	2	-9
148	1	-10
149	7	-4
150	1	-10
151	2	-9
152	2	-9
153	6	-5
154	1	-10
155	2	-9
156	2	-9
157	2	-9
158	2	-9
159	2	-9
160	2	-9
161	2	-9
162	2	-9
163	2	-9
164	3	-8
165	2	-9
166	2	-9
167	2	-9
168	3	-8
169	2	-9
170	3	-8
171	2	-9
172	2	-9
173	3	-8
174	4	-7
175	2	-9
176	3	-8
177	2	-9
178	2	-9
179	3	-8
180	6	-5
181	1	-10
182	2	-9
183	4	-7
184	1	-10
185	1	-10
186	2	-9
187	2	-9
188	2	-9
189	2	-9
190	2	-9
191	2	-9
192	2	-9
193	1	-10
194	2	-9
195	2	-9
196	2	-9
197	6	-5
198	1	-10
199	1	-10
200	2	-9
201	2	-9
202	7	-4
203	1	-10
204	1	-10
205	2	-9
206	2	-9
207	4	-7
208	1	-10
209	1	-10
210	1	-10
211	2	-9
212	2	-9
213	2	-9
214	4	-7
215	4	-7
216	1	-10
217	1	-10
218	2	-9
219	2	-9
220	2	-9
221	2	-9
222	4	-7
223	1	-10
224	2	-9
225	2	-9
226	2	-9
227	2	-9
228	6	-5
229	1	-10
230	2	-9
231	4	-7
232	1	-10
233	2	-9
