self.state_dimension=4
	self.action_space=4
        self.memory  = deque(maxlen=2000)
        #importojme te dhenat e memorjes
	filehandler = open("remember", 'r') 
	self.memory = pickle.load(filehandler)
        self.gamma = 0.85
	#ishte 50
        self.epsilon = 0.01
        self.epsilon_min = 0.01
        self.epsilon_decay = 0.995
        self.learning_rate = 0.08
        self.tau = .125

distanca > distanca previous


Prova	Episode	Reward
0	0	-10
1	1	-10
2	2	-9
3	2	-9
4	1	-10
5	2	-9
6	2	-9
7	3	-8
8	2	-9
9	2	-9
10	2	-9
11	2	-9
12	2	-9
13	2	-9
14	2	-9
15	2	-9
16	1	-10
17	2	-9
18	2	-9
19	2	-9
20	4	-7
21	1	-10
22	1	-10
23	1	-10
24	1	-10
25	3	-8
26	2	-9
27	2	-9
28	4	-7
29	2	-9
30	2	-9
31	2	-9
32	8	-3
33	1	-10
34	2	-9
35	2	-9
36	5	-6
37	3	-8
38	1	-10
39	2	-9
40	2	-9
41	4	-7
42	1	-10
43	2	-9
44	2	-9
45	2	-9
46	2	-9
47	2	-9
48	22	11
49	1	-10
50	1	-10
51	2	-9
52	2	-9
53	2	-9
54	2	-9
55	2	-9
56	6	-5
57	11	0
58	1	-10
59	1	-10
60	11	0
61	1	-10
62	1	-10
63	2	-9
64	2	-9
65	2	-9
66	12	1
67	1	-10
68	1	-10
69	2	-9
70	2	-9
71	2	-9
72	3	-8
73	14	3
74	1	-10
75	1	-10
76	6	-5
77	2	-9
78	1	-10
79	6	-5
80	2	-9
81	2	-9
82	1	-10
83	2	-9
84	2	-9
85	2	-9
86	17	6
87	1	-10
88	1	-10
89	3	-8
90	2	-9
91	2	-9
92	3	-8
93	11	0
94	10	-1
95	10	-1
96	1	-10
97	11	0
98	1	-10
99	1	-10
100	2	-9
101	2	-9
102	2	-9
103	2	-9
104	2	-9
105	2	-9
106	2	-9
107	2	-9
108	2	-9
109	2	-9
110	2	-9
111	2	-9
112	2	-9
113	2	-9
114	3	-8
115	2	-9
116	2	-9
117	2	-9
118	3	-8
119	1	-10
120	1	-10
121	1	-10
122	1	-10
123	2	-9
124	1	-10
125	1	-10
126	2	-9
127	2	-9
128	2	-9
129	3	-8
130	2	-9
131	2	-9
132	13	2
133	1	-10
134	3	-8
135	1	-10
136	3	-8
137	2	-9
138	2	-9
139	5	-6
140	1	-10
141	2	-9
142	2	-9
143	31	20
144	1	-10
145	1	-10
146	1	-10
147	2	-9
148	5	-6
149	1	-10
150	5	-6
151	13	2
152	1	-10
153	2	-9
154	11	0
155	1	-10
156	23	12
157	1	-10
158	1	-10
159	1	-10
160	2	-9
161	2	-9
162	2	-9
163	2	-9
164	2	-9
165	2	-9
166	1	-10
167	3	-8
168	2	-9
169	6	-5
170	11	0
171	1	-10
172	1	-10
173	2	-9
174	2	-9
175	2	-9
176	2	-9
177	10	-1
178	1	-10
179	1	-10
180	2	-9
181	2	-9
182	2	-9
183	1	-10
184	1	-10
185	1	-10
186	3	-8
187	2	-9
188	2	-9
189	2	-9
190	2	-9
191	2	-9
192	18	7
193	1	-10
194	1	-10
195	2	-9
196	2	-9
197	6	-5
198	1	-10
199	2	-9
200	2	-9
201	2	-9
202	2	-9
203	2	-9
204	2	-9
205	2	-9
206	2	-9
207	2	-9
208	2	-9
209	2	-9
210	2	-9
211	10	-1
212	1	-10
213	4	-7
214	1	-10
215	2	-9
216	2	-9
217	2	-9
218	2	-9
219	2	-9
220	1	-10
221	2	-9
222	13	2
223	1	-10
224	1	-10
225	1	-10
226	1	-10
227	1	-10
228	2	-9
229	2	-9
230	1	-10
231	2	-9
232	2	-9
233	2	-9
234	2	-9
235	4	-7
