self.gamma = 0.85
        self.epsilon = 0.01
        self.epsilon_min = 0.01
        self.epsilon_decay = 0.995
        self.learning_rate = 0.08
        self.tau = .125
batch_size = 48
kendi > 2 * previous angle

Prova	Episode	Reward
0	0	-10
1	1	-10
2	1	-10
3	1	-10
4	3	-8
5	1	-10
6	1	-10
7	1	-10
8	2	-9
9	3	-8
10	1	-10
11	1	-10
12	3	-8
13	3	-8
14	2	-9
15	4	-7
16	4	-7
17	3	-8
18	1	-10
19	2	-9
20	4	-7
21	2	-9
22	2	-9
23	2	-9
24	2	-9
25	2	-9
26	2	-9
27	2	-9
28	2	-9
29	11	0
30	1	-10
31	1	-10
32	1	-10
33	2	-9
34	2	-9
35	3	-8
36	2	-9
37	3	-8
38	2	-9
39	3	-8
40	1	-10
41	1	-10
42	1	-10
43	3	-8
44	1	-10
45	3	-8
46	3	-8
47	1	-10
48	1	-10
49	1	-10
50	1	-10
51	2	-9
52	2	-9
53	2	-9
54	2	-9
55	4	-7
56	1	-10
57	2	-9
58	3	-8
59	3	-8
60	1	-10
61	1	-10
62	2	-9
63	2	-9
64	2	-9
65	2	-9
66	2	-9
67	3	-8
68	1	-10
69	2	-9
70	2	-9
71	2	-9
72	3	-8
73	1	-10
74	2	-9
75	2	-9
76	2	-9
77	2	-9
78	1	-10
79	9	-2
80	1	-10
81	2	-9
82	2	-9
83	1	-10
84	1	-10
85	1	-10
86	4	-7
87	1	-10
88	3	-8
89	1	-10
90	1	-10
91	2	-9
92	2	-9
93	2	-9
94	2	-9
95	4	-7
96	1	-10
97	1	-10
98	2	-9
99	2	-9
100	2	-9
101	2	-9
102	2	-9
103	2	-9
104	2	-9
105	2	-9
106	2	-9
107	2	-9
108	2	-9
109	2	-9
110	2	-9
111	1	-10
112	7	-4
113	1	-10
114	2	-9
115	2	-9
116	8	-3
117	1	-10
118	1	-10
119	1	-10
120	1	-10
121	2	-9
122	2	-9
123	2	-9
124	7	-4
125	2	-9
126	1	-10
127	2	-9
128	2	-9
129	2	-9
130	2	-9
131	1	-10
132	1	-10
133	2	-9
134	2	-9
135	2	-9
136	2	-9
137	4	-7
138	1	-10
139	2	-9
140	2	-9
141	2	-9
142	2	-9
143	6	-5
144	1	-10
145	2	-9
146	2	-9
147	10	-1
148	1	-10
149	2	-9
150	1	-10
151	2	-9
152	2	-9
153	2	-9
154	2	-9
155	2	-9
156	4	-7
157	2	-9
158	2	-9
159	1	-10
160	1	-10
161	2	-9
162	8	-3
163	1	-10
164	2	-9
165	7	-4
166	1	-10
167	3	-8
168	2	-9
169	2	-9
170	2	-9
171	2	-9
172	2	-9
173	2	-9
174	2	-9
175	2	-9
176	2	-9
177	2	-9
178	2	-9
179	2	-9
180	3	-8
181	1	-10
182	2	-9
183	2	-9
184	2	-9
185	3	-8
186	1	-10
187	4	-7
188	1	-10
189	2	-9
190	1	-10
191	2	-9
192	2	-9
193	2	-9
194	4	-7
195	2	-9
196	1	-10
197	1	-10
198	3	-8
199	4	-7
200	1	-10
201	12	1
202	1	-10
203	1	-10
204	1	-10
205	1	-10
206	4	-7
207	1	-10
208	2	-9
209	4	-7
210	1	-10
211	2	-9
212	2	-9
213	1	-10
214	2	-9
215	2	-9
216	2	-9
217	2	-9
218	2	-9
219	2	-9
220	2	-9
221	3	-8
222	1	-10
223	2	-9
224	2	-9
225	2	-9
226	2	-9
227	1	-10
228	2	-9
229	2	-9
230	1	-10
231	1	-10
232	2	-9
233	4	-7
234	2	-9
235	5	-6
236	1	-10
237	9	-2
238	1	-10
239	1	-10
240	1	-10
241	2	-9
242	2	-9
243	2	-9
244	2	-9
245	2	-9
