self.gamma = 0.85
        self.epsilon = 0.0
        self.epsilon_min = 0.01
        self.epsilon_decay = 0.995
        self.learning_rate = 0.08
        self.tau = .125


Prova	Episode	Reward kendi me i vegel
0	54	-431
1	59	-361
2	44	-354
3	41	-368
4	43	-432
5	39	-392
6	38	-404
7	36	-395
8	34	-408
9	35	-396
10	34	-419
11	34	-408
12	37	-427
13	35	-407
14	34	-419
15	36	-417
16	35	-407
17	36	-428
18	34	-419
19	36	-428
20	35	-418
21	34	-419
22	34	-419
23	34	-419
24	34	-419
25	34	-419
26	34	-419
27	35	-418
28	34	-408
29	34	-419
30	34	-419
31	34	-419
32	34	-419
33	34	-419
34	35	-429
35	35	-418
36	34	-419
37	35	-418
38	34	-419
39	35	-418
40	34	-419
41	34	-419
42	34	-419
43	34	-419
44	34	-419
45	34	-419
46	34	-419
47	34	-419
48	35	-418
49	35	-407
50	34	-419
51	34	-419
52	34	-419
53	34	-419
54	34	-419
55	34	-419
56	34	-419
57	34	-419
58	34	-419
59	34	-419
60	34	-419
61	34	-419
62	34	-419
63	34	-419
64	34	-419
65	34	-419
66	34	-419
67	35	-418
68	34	-419
69	34	-419
70	34	-419
71	35	-418
72	34	-419
73	34	-419
74	34	-419
75	34	-419
76	34	-419
77	35	-418
78	35	-418
79	35	-418
80	34	-419
81	34	-419
82	34	-419
83	34	-419
84	34	-419
85	34	-419
86	34	-419
87	34	-419
88	34	-419
89	34	-419
90	35	-418
91	34	-419
92	34	-419
93	34	-419
94	34	-419
95	34	-419
96	34	-419
97	35	-429
98	34	-419
99	34	-419
100	34	-419
101	35	-429
102	34	-419
103	34	-419
104	34	-419
105	34	-419
106	34	-419
107	34	-408
108	36	-428
109	34	-419
110	34	-419
111	34	-419
112	35	-418
113	34	-419
114	34	-419
115	34	-419
116	34	-419
117	34	-419
118	34	-419
119	34	-419
120	34	-419
121	34	-419
122	34	-419
123	34	-419
124	34	-419
125	34	-419
126	34	-419
127	34	-419
128	34	-419
129	34	-419
130	34	-419
131	35	-418
132	34	-419
133	34	-419
134	34	-419
135	34	-419
136	34	-419
137	34	-419
138	34	-419
139	34	-419
140	34	-419
141	36	-428
142	34	-419
143	34	-419
144	34	-419
145	34	-419
146	34	-419
147	35	-429
148	34	-419
149	35	-429
150	34	-419
151	34	-419
152	34	-419
153	35	-418
154	34	-419
155	34	-419
156	34	-419
157	34	-419
158	34	-419
159	34	-419
160	34	-419
161	34	-419
162	34	-419
163	34	-419
164	34	-419
165	34	-419
166	34	-419
167	34	-408
168	34	-419
169	34	-419
170	34	-419
171	34	-419
172	34	-419
173	34	-419
174	34	-408
175	34	-419
176	34	-419
177	34	-419
178	34	-419
179	34	-419
180	34	-419
181	34	-408
182	34	-419
183	34	-419
184	34	-419
185	34	-419
186	35	-429
187	34	-419
188	34	-419
189	34	-419
190	35	-418
191	34	-419
192	34	-408
193	34	-419
194	34	-419
195	34	-419
196	34	-419
197	35	-429
198	34	-419
199	34	-419
200	34	-419
201	34	-419
202	34	-419
203	34	-419
204	34	-419
205	34	-419
206	34	-419
207	34	-419
208	34	-408
209	34	-419
210	34	-419
211	34	-419
212	34	-419
213	35	-429
214	34	-419
215	34	-419
216	34	-419
217	34	-419
218	34	-408
219	34	-419
220	34	-419
221	34	-419
222	34	-419
223	34	-419
224	35	-429
225	34	-419
226	34	-419
227	34	-419
228	34	-419
229	34	-419
230	34	-419
231	34	-419
232	34	-419
233	35	-418
234	34	-419
235	34	-419
236	34	-408
237	34	-419
238	34	-408
239	35	-418
240	35	-418
241	34	-419
242	34	-419
243	34	-419
244	34	-419
245	36	-417
246	34	-419
247	35	-418
248	34	-419
249	34	-419
Prova	Episode	Reward distanca me e madhe  learning rate 0.08
0	0	-10
1	1	-10
2	2	-9
3	2	-9
4	3	-8
5	2	-9
6	1	-10
7	1	-10
8	2	-9
9	1	-10
