self.state_dimension=4
	self.action_space=4
        self.memory  = deque(maxlen=2000)
        #importojme te dhenat e memorjes
	filehandler = open("remember", 'r') 
	self.memory = pickle.load(filehandler)
        self.gamma = 0.85
	#ishte 50
        self.epsilon = 0.01
        self.epsilon_min = 0.01
        self.epsilon_decay = 0.995
        self.learning_rate = 0.08
        self.tau = .125

if(dif_kendi >= 0.2 || dif_distanca >= 0.2)
		return -10;
	else return 1;

Prova	Episode	Reward
0	0	-10
1	1	-10
2	1	-10
3	2	-9
4	1	-10
5	1	-10
6	2	-9
7	1	-10
8	1	-10
9	2	-9
10	1	-10
11	2	-9
12	2	-9
13	1	-10
14	3	-8
15	1	-10
16	1	-10
17	2	-9
18	1	-10
19	2	-9
20	1	-10
21	2	-9
22	1	-10
23	1	-10
24	2	-9
25	3	-8
26	1	-10
27	1	-10
28	2	-9
29	1	-10
30	3	-8
31	1	-10
32	6	-5
33	1	-10
34	4	-7
35	4	-7
36	1	-10
37	1	-10
38	1	-10
39	1	-10
40	1	-10
41	2	-9
42	2	-9
43	1	-10
44	1	-10
45	2	-9
46	2	-9
47	1	-10
48	2	-9
49	2	-9
50	6	-5
51	1	-10
52	2	-9
53	2	-9
54	2	-9
55	2	-9
56	1	-10
57	3	-8
58	1	-10
59	1	-10
60	4	-7
61	1	-10
62	1	-10
63	2	-9
64	1	-10
65	1	-10
66	1	-10
67	2	-9
68	1	-10
69	1	-10
70	2	-9
71	1	-10
72	1	-10
73	2	-9
74	2	-9
75	2	-9
76	1	-10
77	2	-9
78	2	-9
79	1	-10
80	1	-10
81	3	-8
82	2	-9
83	2	-9
84	1	-10
85	4	-7
86	1	-10
87	2	-9
88	1	-10
89	1	-10
90	1	-10
91	2	-9
92	1	-10
93	3	-8
94	1	-10
95	2	-9
96	2	-9
97	1	-10
98	1	-10
99	1	-10
100	1	-10
101	2	-9
102	1	-10
103	1	-10
104	1	-10
105	2	-9
106	1	-10
107	9	-2
108	2	-9
109	2	-9
110	1	-10
111	1	-10
112	2	-9
113	1	-10
114	1	-10
115	3	-8
116	1	-10
117	2	-9
118	1	-10
119	1	-10
120	1	-10
121	1	-10
122	1	-10
123	1	-10
124	2	-9
125	2	-9
126	2	-9
127	1	-10
128	1	-10
129	1	-10
130	1	-10
131	5	-6
132	3	-8
133	1	-10
134	1	-10
135	1	-10
136	2	-9
137	4	-7
138	1	-10
139	1	-10
140	2	-9
141	1	-10
142	2	-9
143	1	-10
144	1	-10
145	2	-9
146	1	-10
147	1	-10
148	2	-9
149	1	-10
150	1	-10
151	2	-9
152	1	-10
153	1	-10
154	2	-9
155	1	-10
156	3	-8
157	1	-10
158	2	-9
159	1	-10
160	1	-10
161	1	-10
162	1	-10
163	2	-9
164	1	-10
165	5	-6
166	1	-10
167	1	-10
168	2	-9
169	1	-10
170	2	-9
171	2	-9
172	1	-10
173	1	-10
174	2	-9
175	1	-10
176	1	-10
177	1	-10
178	1	-10
179	2	-9
180	2	-9
181	1	-10
182	1	-10
183	1	-10
184	2	-9
185	1	-10
186	2	-9
187	1	-10
188	2	-9
189	1	-10
190	1	-10
191	1	-10
192	5	-6
193	2	-9
194	5	-6
195	3	-8
196	2	-9
197	1	-10
198	2	-9
199	1	-10
200	2	-9
201	3	-8
202	1	-10
203	1	-10
204	1	-10
205	2	-9
206	1	-10
207	1	-10
208	1	-10
209	2	-9
210	1	-10
211	2	-9
212	1	-10
213	1	-10
214	2	-9
215	1	-10
216	2	-9
217	1	-10
218	1	-10
219	2	-9
220	3	-8
221	2	-9
222	1	-10
223	2	-9
224	3	-8
225	1	-10
226	2	-9
227	1	-10
228	3	-8
229	2	-9
230	1	-10
231	1	-10
232	1	-10
233	2	-9
234	3	-8
235	1	-10
236	2	-9
237	1	-10
238	1	-10
239	3	-8
240	3	-8
241	1	-10
242	1	-10
243	1	-10
244	10	-1
245	1	-10
246	2	-9
247	2	-9
248	1	-10
249	3	-8
Prova	Episode	Reward
0	0	-10
1	1	-10
2	2	-9
3	1	-10
4	2	-9
5	2	-9
6	1	-10
7	2	-9
8	1	-10
9	1	-10
10	2	-9
11	3	-8
12	1	-10
13	1	-10
14	1	-10
15	2	-9
16	1	-10
17	2	-9
18	1	-10
19	4	-7
20	2	-9
21	1	-10
22	3	-8
23	1	-10
24	3	-8
25	1	-10
26	7	-4
27	1	-10
28	2	-9
29	1	-10
30	1	-10
31	2	-9
32	1	-10
33	1	-10
34	1	-10
35	3	-8
36	2	-9
37	1	-10
38	1	-10
39	3	-8
40	2	-9
41	1	-10
42	1	-10
43	3	-8
44	1	-10
45	2	-9
46	1	-10
47	1	-10
48	3	-8
49	2	-9
50	3	-8
51	1	-10
52	3	-8
53	2	-9
54	2	-9
55	1	-10
56	1	-10
57	3	-8
58	4	-7
59	2	-9
60	2	-9
61	3	-8
62	2	-9
63	1	-10
64	1	-10
65	2	-9
66	1	-10
67	2	-9
68	1	-10
69	1	-10
70	1	-10
71	1	-10
72	4	-7
73	2	-9
74	1	-10
75	2	-9
76	2	-9
77	1	-10
78	1	-10
79	5	-6
80	2	-9
81	1	-10
82	3	-8
83	1	-10
84	1	-10
85	3	-8
86	1	-10
87	3	-8
88	2	-9
89	1	-10
90	1	-10
91	2	-9
92	1	-10
93	2	-9
94	1	-10
95	2	-9
96	1	-10
97	2	-9
98	1	-10
99	2	-9
100	1	-10
101	2	-9
102	2	-9
103	1	-10
104	2	-9
105	1	-10
106	3	-8
107	2	-9
108	2	-9
109	1	-10
110	1	-10
111	4	-7
112	1	-10
113	1	-10
114	1	-10
115	3	-8
116	1	-10
117	3	-8
118	1	-10
119	2	-9
120	3	-8
121	7	-4
122	1	-10
123	2	-9
124	1	-10
125	1	-10
126	2	-9
127	1	-10
128	1	-10
129	1	-10
130	1	-10
131	1	-10
132	2	-9
